stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
06195C01,P&R 2 Giugno,"",41.105400,16.875100,06195C01,0,
06211003,d' Italia-Galiani,"",41.112063,16.873715,06211003,0,
06235003,Einaudi-Resistenza,"",41.100853,16.876985,06235003,0,
06235104,Einaudi(chiesa),"",41.100893,16.877025,06235104,0,
06249004,Fanelli(caserma CC),"",41.096993,16.882075,06249004,0,
06249005,Fanelli-str. Barone,"",41.099713,16.880325,06249005,0,
06249106,Fanelli (Green Park),"",41.091493,16.883615,06249106,0,
06402101,Omodeo (Campus),"",41.107100,16.884400,06402101,0,
06405101,Orabona (Politecnico),"",41.107523,16.878285,06405101,0,
06439001,Postiglione-Dei Mille,"",41.112683,16.878025,06439001,0,
06439102,Postiglione-Pisacane,"",41.112563,16.877175,06439102,0,
06447001,ReDavid (Poliba),"",41.108233,16.877355,06447001,0,
06473001,Salvemini-Orabona,"",41.106883,16.881245,06473001,0,
06499101,Sturzo-B.Croce,"",41.107000,16.873300,06499101,0,
06509102,Tridente,"",41.100673,16.885175,06509102,0,
06531002,d' Italia-Pisanelli,"",41.116103,16.873315,06531002,0,
07381102,INPS fronte,"",41.120623,16.885025,07381102,0,
07434101,Poerio,"",41.117163,16.888135,07434101,0,
08129003,Crispi(tribunale),"",41.123623,16.856175,08129003,0,
08129102,Crispi-Ravanas,"",41.124363,16.858105,08129102,0,
08156101,De Cristoforis-Crispi,"",41.123783,16.856245,08156101,0,
08291001,Italia-Figoroa,"",41.117913,16.857605,08291001,0,
08366101,Mons.Nitti-Don Bosco,"",41.119933,16.854155,08366101,0,
08378002,Napoli (autoclub),"",41.133782,16.819355,08378002,0,
08378007,Genio Militare,"",41.127542,16.842955,08378007,0,
08378109,Napoli-Costa,"",41.133792,16.819735,08378109,0,
08435001,Garibaldi-Visconti,"",41.124973,16.863825,08435001,0,
08490102,"Q.Sella, 141","",41.121513,16.864505,08490102,0,
08546001,San Girolamo-Cilea,"",41.135552,16.825445,08546001,0,
08546003,lido trampolino,"",41.135252,16.829015,08546003,0,
08555001,Verdi (Fiera),"",41.135142,16.835095,08555001,0,
08561007,Park Veneto fronte,"",41.128063,16.855665,08561007,0,
08561106,GdF fronte,"",41.129912,16.850585,08561106,0,
09153001,De Cesare,"",41.118933,16.869195,09153001,0,
09351001,Prefettura,"",41.126263,16.866815,09351001,0,
09561101,Anagrafe fronte,"",41.128633,16.863565,09561101,0,
10012101,Ancona-Gerani,"",41.111500,16.788400,10012101,0,
10177C00,Oleandri (Bosch),"",41.106800,16.785200,10177C00,0,
10183001,Gerani-Ortensie,"",41.109832,16.774075,10183001,0,
10183102,Gerani (Brovedani),"",41.110100,16.781700,10183102,0,
10205103,Magnolie (R. Puglia),"",41.109612,16.766805,10205103,0,
10205105,Magnolie (Merck Serono),"",41.109442,16.762015,10205105,0,
10466101,SP1(Acmei),"",41.100812,16.810785,10466101,0,
01075102,Capruzzi-Sorrentino,"",41.117093,16.870315,01075102,0,
01087101,Caravella-Delle Mimose,"",41.159572,16.737435,01087101,0,
01143003,Aereounatica Militare,"",41.146372,16.778605,"",0,
01339002,"Macchie, ang. vico ii macchie","",41.146612,16.772285,"",0,
01378005,Napoli-Lembo,"",41.163552,16.745615,01378005,0,
01378110,Napoli-Caladoria,"",41.165512,16.736605,01378110,0,
01384003,Nazionale (ponte) I,"",41.153142,16.773765,01384003,0,
01384006,Nazionale (Ponte) II,"",41.153152,16.773745,01384006,0,
02002002,Accolti Gil (AIA),"",41.119832,16.809535,02002002,0,
02002003,Accolti Gil-Fuzio,"",41.120212,16.812435,02002003,0,
02024001,Buozzi (Garofalo),"",41.106262,16.819945,02024001,0,
02024003,Buozzi (distributore),"",41.110422,16.826815,02024003,0,
02024102,Buozzi-Cheren,"",41.117000,16.838500,02024102,0,
