Country;ISO Country code;Population 2018;Surface 2018;;GINI index;happy planet index 2016;happy planet index 2019;human development index 2017;human development index 2021;sustainable economic development assessment (SEDA) 2018;;GDP growth 2018;GDP growth 2021 or latest year;GDP 2018;GDP 2019;GDP 2020;GDP 2021;GDP per capita 2018;GDP per capita 2019;GDP per capita 2020;GDP per capita 2021;Economic Growth 2018;Economic Growth 2021 or latest;;health expenditure 2014;health expenditure 2015;health expenditure 2016;health expenditure 2017;health expenditure 2018;health expenditure 2019;health expenditure 2020;health expenditure 2021;health expenditure 2021 or latest;health expenditure per person 2015;health expenditure per person 2018;health expenditure per person 2019;infant mortality 2020;maternal mortality per 100,000 live births 2017 (latest year);;education expenditure 2014;education expenditure 2018;education expenditure 2021 or latest year;Education as % of GDP 2018;Education as % of GDP 2021 or latest; % of primary school aged kids out of school 2018;% of primary school aged kids out of school 2021 or latest year;;Unemployment (%) 2018;Unemployment (%) 2021;% of population in extreme poverty latest year;% of population with access to electricity 2020;;political rights score 2018;political rights score 2022;civil liberties score 2018;civil liberties score 2022;political stability & absence of violence 2017;political stability & absence of violence 2021;government effectiveness 2017;government effectiveness 2021;regulatory quality 2017;regulatory quality 2021;rule of law 2017;rule of law 2021;control of corruption 2017;control of corruption 2021;judicial effectiveness score 2018;judicial effectiveness score 2022;government integrity score 2018;government integrity score 2022;overall economic freedom score 2017; overall economic freedom score 2022;financial freedom score 2018;financial freedom score 2022;government expenditure (% of GDP) 2018;;CO2e emissions per capita 2019;share of electricity from renewables generation 2015;share of electricity from renewables generation 2020 or latest year;;% of seats held by women in national parliaments 2017;% of seats held by women in national parliaments 2018; % of seats held by women in national parliaments 2021;Military Spending as % of GDP 2021;Military Spending as % of GDP 2019
Estonia;EST;1300000;42388;;34,8;17,9;34,4;0,871;0,89;70,8;;1,1;8,34945362012054;46,3983575758575;48,2989932833426;46,8736565142199;50,7873507249293;36249,3581462876;37851,3007726135;37645,2213607112;42191,5144000302;4,13381979831833;8,34945362012054;;4,39433002471924;5,14418983459473;5,15763998031616;4,96131992340088;5,2632098197937;;;;5,2632098197937;1887;1552,63244629;1598,81884766;35,4;9;;-;5,2632098197937;;5,2632098197937;-;2,15716004371643;;;6,9;6,33099985122681;0,3;100;;38;38;56;56;0,66;0,755603730678558;1,12;1,38256192207336;1,64;1,55910897254944;1,28;1,4276876449585;1,24;1,53582549095154;83,9;92,3;75,7;83,9;78,8;80;80;70;39,8;;7,67227790917304;16,5%;44,1884107082345%;;26,7;26,7326732673267;25,7425742574257;2,15551504624942%;2,1%
Eswatini;SWZ;1100000;17204;;50,4;15,5;35,3;0,588;0,597;-;;1,7;7,42613228490497;9,68279316031675;9,93470611734806;9,75086192576405;10,4749738312897;8725,11044313722;9018,11577288047;8865,01713753376;9815,81225742683;2,38296442304164;7,42613228490497;;7,07059001922607;5,35575008392334;5,41466999053955;6,13809013366699;5,67916011810303;5,64554977416992;5,34233999252319;4,99529790878296;4,99529790878296;-;298,118927;264,05514526;;437;;-;5,67916011810303;4,99529790878296;5,67916011810303;5;16,3491401672363;;;25,3;25,7560005187988;;79,7304992675781;;1;1;15;16;-0,3;-0,030135726556182;-0,58;-0,728663802146912;-0,56;-0,582627952098846;-0,29;-0,561079084873199;-0,3;-0,650570392608643;35,3;36,9;26,9;32,1;55,9;51,4;40;40;34,1;;0,836140045223269;53,6%;54,6147701691961%;;6,2;7,2463768115942;9,58904109589041;1,69802362656514%;1,8%
Ethiopia;ETH;105000000;1000000;;33;26,7;41,7;0,463;0,498;32,3;;10,2;5,63730300819225;229,755278555775;248,972206952337;264,058754731249;278,944546855109;2153,76908135974;2315,15813781318;2422,68102598534;2599,73616529588;6,81614779681703;5,63730300819225;;4,60201978683472;4,73791980743408;5,06151008605957;5,64951992034912;5,06867980957031;;;;5,06867980957031;66;24,29408836;26,74220467;3,2244856014062;401;;-;5,06867980957031;;5,06867980957031;5,07;;12,7920303344727;;5,7;3,69400000572205;;51,0939826965332;;4;12;8;11;-1,69;-2,06836009025574;-0,7;-0,613235294818878;-1,01;-0,928053855895996;-0,45;-0,606264889240265;-0,56;-0,397181957960129;37,6;20,5;37,7;33,2;52,8;49,6;20;20;17,7;;0,16381342920099;100%;99,9646695543418%;;38,8;38,7568555758684;42,5882352941177;0,527828226726397%;0,6%
Fiji;FJI;900000;18274;;-;-;-;0,741;0,73;49;;4,3;-4,08142494076485;12,2329091684617;12,1784038129604;10,3332761801898;9,91153126897342;14176,9060216069;14261,8316137323;12158,2433075869;12059,7750268817;3,81235122208518;-4,08142494076485;;4,26821994781494;4,80931997299194;4,8358998298645;4,65118980407715;4,83571004867554;5,06788015365601;;;5,06788015365601;331;216,09642029;235,67501831;3,4;34;;-;4,83571004867554;5,06788015365601;4,83571004867554;5,07;;1,17825996875763;;7,9;5,23899984359741;0,2;100;;24;23;35;35;0,79;0,667941689491272;0,09;0,62380588054657;-0,22;-0,004540863912553;-0,25;0,310964047908783;0,36;0,471656739711762;47,1;43,4;34,8;54,3;62;56,4;50;50;32,6;;1,83155327542587;46,2%;57,9019962285618%;;16;19,6078431372549;21,5686274509804;1,65062746229185%;1,6%
Finland;FIN;6000000;303815;;27,2;31,3;51,3;0,92;0,94;81,3;;0,4;3,47454718099831;265,018680600984;268,253907124212;262,086062842479;271,192366750762;49580,6051952837;50321,5396907229;50937,1607539726;55006,6453072237;1,14194750876192;3,47454718099831;;7,10236978530884;7,03208017349243;6,85153007507324;6,36311006546021;6,27542018890381;;;;6,27542018890381;3669;4515,67724609;4450,30273438;23;3;;7,15155983;6,27542018890381;;6,27542018890381;-;1,32710003852844;;;9;7,52500009536743;0;100;;40;40;60;60;1,07;0,981907784938812;1,94;1,96044170856476;1,82;1,89807558059692;2,03;2,05786848068237;2,22;2,27007675170898;82,7;97,8;89,8;96,4;74,1;78,3;80;80;57,1;;7,37285476082008;46,3%;53,2210878261389%;;42;42;46;2,03028083194822%;1,5%
France;FRA;67000000;549970;;29,3;30,4;51,8;0,901;0,903;73,9;;1,1;6,96357078755028;3038,64398560027;3094,64533779663;2851,55302307446;3050,12293638078;46576,6018489382;49072,3638300842;46991,1820282957;50728,667429396;1,86506607081999;6,96357078755028;;;;;5,45160007476807;5,40716981887817;;;;5,40716981887817;4542;4657,75292969;4491,73535156;;8;;5,51760006;5,40716981887817;;5,40716981887817;-;0,014720000326634;;;10;8,0629997253418;0;100;;38;38;52;51;0,21;0,371733695268631;1,35;1,26752460002899;1,16;1,23555743694305;1,44;1,28912806510925;1,26;1,31040704250336;72,7;85,5;65,1;75,9;63,9;65,9;70;70;57;;4,46877008881409;16,8%;23,6940008740975%;;39;39,5833333333333;39,5147313691508;1,9453822620282%;1,9%
Gabon;GAB;1900000;257667;;42,2;17,5;39,9;0,702;0,706;40,9;;4;1,50535940089038;31,2459510938624;32,4710450922846;31,874304912166;32,3541277576297;15095,9268000247;15576,6431585415;15105,1343141622;15597,5210810635;0,83791658082157;1,50535940089038;;2,66667008399963;2,99166393280029;2,66205835342407;3,32681179046631;2,93345880508423;2,73232412338257;3,18160939216614;;3,18160939216614;481;218,47528076;215,01914978;3,6;252;;-;2,93345880508423;3,18160939216614;2,93345880508423;3,18160939216614;;;;18,5;22,2649993896484;;91,5715637207031;;4;3;19;18;-0,09;-0,085975639522076;-0,94;-0,783586800098419;-0,79;-0,808025300502777;-0,68;-0,695860266685486;-0,81;-0,850754976272583;27,8;18,6;33,4;24,4;58;55,8;40;40;22,6;;2,41648401116093;45%;58,1812147361434%;;17,1;;16,1971830985916;1,710036103047%;1,6%
Gambia, The;GMB;2100000;10120;;50,2;-;-;0,46;0,5;-;;4,4;5,62649914313542;4,92061537575472;5,22677868023079;5,21622984332553;5,50972097076422;2209,63426611081;2320,30583683104;2276,65070826113;2433,89839598928;7,23489033258579;5,62649914313542;;2,23094010353088;2,16002988815308;2,0244300365448;2,45919442176819;2,36543989181519;2,78892803192139;2,76371717453003;;2,76371717453003;-;35,81452942;29,72580338;51,4;597;;-;2,36543989181519;2,76371717453003;2,36543989181519;2,76;18,1914806365967;13,632399559021;;29,7;11,2119998931885;;62,2730674743652;;20;21;21;26;-;0,175200670957565;-;-0,638483941555023;-;-0,873302340507507;-;-0,385542750358582;-;-0,358450144529343;38,8;37,2;36,8;38,1;52,3;58;50;50;29,4;;0,247050718368434;;1,01694259162243%;;10,3;10,3448275862069;8,62068965517241;0,748651383074683%;0,8%
Georgia;GEO;3700000;69700;;40,1;31,1;44,3;0,78;0,802;55,4;;2,8;10,3589426548453;53,1160270027883;55,7624536265218;51,9926665085875;57,378557016937;14593,9244791426;15621,8736565619;14731,2005947457;16997,1489389764;4,84291988506627;10,3589426548453;;2,99767994880676;3,16487002372742;3,59386992454529;3,57442998886108;3,5210599899292;3,80864000320435;3,85008001327515;;3,85008001327515;718;312,74691772;291,12203979;33;25;;-;3,5210599899292;3,85008001327515;3,5210599899292;3,85008001327515;0,786210000514984;0,623090028762817;;11,6;10,6590003967285;1,5;100;;26;22;38;36;-0,37;-0,423428177833557;0,57;0,654211461544037;1,05;1,06054139137268;0,33;0,170995160937309;0,74;0,688035368919373;64,2;56,4;61,8;64,4;76,2;71,8;60;70;29,8;;2,71762422558518;78,9%;75,8773517794472%;;16;16;19,3333333333333;1,67322167479838%;2%
Germany;DEU;83000000;348672;;27;29,8;52,7;0,936;0,942;79,6;;1,5;2,89260243321934;4434,36834422324;4481,17346780477;4276,40101588543;4400,10029572515;55235,366304833;55652,8874913932;54844,5459733622;57927,5900741703;1,08602451412267;2,89260243321934;;4,92102003097534;4,85515022277832;4,83923006057739;4,87182998657227;4,97576999664307;;;;4,97576999664307;5357;5481,98730469;5440,25146484;47,2;7;;4,931129932;4,97576999664307;;4,97576999664307;-;0,688939988613129;;;4,3;3,53500008583069;0;100;;39;39;55;55;0,58;0,75599604845047;1,72;1,33114635944366;1,78;1,63153600692749;1,61;1,60852479934692;1,84;1,81323182582855;78;95,3;75,3;89,4;74,2;76,1;70;70;44,2;;7,91162101567715;31,8%;48,5782412120212%;;37;30,7475317348378;34,9184782608696;1,3373843362163%;1,3%
Ghana;GHA;29000000;227533;;42,3;21,4;39,5;0,592;0,632;40,2;;3,5;5,35647789699578;158,21973702955;168,516321194958;169,382396753796;178,455327397315;5442,23589950668;5773,860981728;5749,65538548528;6178,28506549184;6,20007768127284;5,35647789699578;;4,39978981018066;4,4340500831604;4,39452981948853;3,53362989425659;3,8861300945282;;;;3,8861300945282;249;76,83074188;75,28166199;;308;;6,159830093;3,8861300945282;;3,8861300945282;-;3,62357997894287;5,98369979858398;;5,8;4,7039999961853;;85,8735504150391;;37;35;46;45;0,09;0,066447861492634;-0,11;-0,149478808045387;-0,14;-0,200255006551743;0,13;-0,081007681787014;-0,23;-0,106090411543846;43,7;57;32,9;45,4;56;59,8;60;60;26,5;;0,658823540945168;52,2%;38,5279611678934%;;12,7;12,7272727272727;14,5454545454545;0,492100594915687%;0,4%
Greece;GRC;11000000;130647;;36,7;23,6;48,8;0,87;0,887;64,1;;-0,2;8,33610201010661;312,768785993502;318,409868980403;289,69207187769;313,841098504605;29617,5483399732;30356,2663953863;27948,6497284227;31295,1453325019;1,66842863602514;8,33610201010661;;;3,66139006614685;;3,47708988189697;3,59734010696411;;;;3,59734010696411;2204;1572,6842041;1500,5949707;14,5;3;;-;3,59734010696411;;3,59734010696411;-;1,42841994762421;0,892690002918243;;23,9;14,7950000762939;0,4;100;;35;37;50;50;-0,13;0,154484167695045;0,31;0,443549573421478;0,24;0,441707789897919;0,08;0,349768280982971;-0,14;0,207244008779526;59;69,9;37,9;52,3;57,3;61,5;40;50;51,3;;5,59618906985928;29,7%;43,5522034900917%;;18,3;18,6666666666667;21,6666666666667;3,86736963011333%;2,6%
Guatemala;GTM;17000000;107159;;53;34,2;57,9;0,65;0,627;42,5;;4;7,52762877577686;138,330704321969;143,679754257155;141,496784596666;152,148137270763;8664,3343202623;9018,51752035111;8852,94774326286;9769,23822653895;3,32209799734959;7,52762877577686;;2,98562002182007;3,03032994270325;2,94474005699158;2,95009994506836;3,13704991340637;3,19928002357483;3,29972004890442;;3,29972004890442;444;259,62017822;271,02127075;;95;;2,941390038;3,13704991340637;3,29972004890442;3,13704991340637;3,29972004890442;10,6287202835083;10,554539680481;;2,4;3,57200002670288;;97,0552673339844;;23;21;33;30;-0,57;-0,392172634601593;-0,64;-0,751769006252289;-0,26;-0,315212965011597;-1,06;-1,09278106689453;-0,74;-1,17367112636566;33,1;36,9;27,3;26,5;63,4;63,2;50;50;12,5;;1,16297092439764;61,7%;75,4285620636533%;;12,7;12,6582278481013;19,375;0,444567515086392%;0,4%
Guinea;GIN;13000000;245717;;39,4;-;38,1;0,459;0,465;28,3;;0,1;3,12323000009609;31,0320959196905;32,7751422054061;34,2950165123896;35,3661287566425;2559,42554529443;2674,63359857176;2754,41838364472;2878,59305136851;6,35849192736715;3,12323000009609;;2,42281007766724;2,51713991165161;2,54450011253357;2,3203399181366;2,38432002067566;1,84836995601654;2,19947004318237;;2,19947004318237;57;35,70616531;43,03782272;34,7;576;;2,419260025;2,38432002067566;2,19947004318237;2,38432002067566;2,2;;14,4640197753906;;6,8;6,34200000762939;3,1;44,6686782836914;;17;10;24;24;-0,61;-0,970410823822022;-1,04;-0,915673136711121;-0,84;-0,964260876178741;-1,23;-1,13051640987396;-1,01;-0,996127367019653;28,2;27,8;26,9;25,6;52,2;54,2;40;40;25,4;;0,30928854143783;50%;63,6098981077147%;;21,9;21,9298245614035;17;1,48454111736468%;2%
Guinea-Bissau;GNB;1700000;28120;;-;-;-;0,455;0,483;-;;4,8;3,80000242656607;3,56479826534134;3,72521418697916;3,63580904652082;3,77396987851392;1947,36909498914;2021,13642844877;1948,64340064163;2057,10000220704;1,28373670309465;3,80000242656607;;2,20000004768372;2,29999995231628;2,29999995231628;2,20000004768372;2,13787007331848;2,94781994819641;2,7084276676178;;2,7084276676178;100;61,23582077;62,57557678;58,3;667;;-;2,13787007331848;2,7084276676178;2,13787007331848;2,71;;;;6,5;6,75899982452393;4,7;33,3354682922363;;16;17;25;26;-0,6;-0,280239313840866;-1,77;-1,42388391494751;-1,18;-1,25828886032105;-1,44;-1,43794846534729;-1,56;-1,30015206336975;53,5;14;27,3;15,9;56,9;46;30;30;21,9;;0,171792957797251;;2,42547721264159%;;13,7;13,7254901960784;13,7254901960784;1,78263865868451%;1,4%
Guyana;GUY;800000;196849;;44,6;-;-;0,654;0,714;42,8;;3;19,927228866;9,72012265960009;10,240404610916;14,6928870621954;17,620772294102;12775,6713980142;13634,309590679;19702,974420268;24493,714070261;4,44101358934772;19,927228866;;4,36033010482788;3,89569997787476;4,73775005340576;4,6647801399231;4,45058012008667;;;;4,45058012008667;336;301,44827271;325,88516235;4,1;169;;-;4,45058012008667;;4,45058012008667;-;;;;11,4;16,4249992370605;;92,5405426025391;;32;30;42;43;-0,04;-0,143802285194397;-0,29;-0,236731559038162;-0,39;-0,519256711006165;-0,29;-0,397582739591599;-0,51;-0,165203332901001;42,5;47,4;34,8;41,5;58,7;59,5;30;30;31,2;;3,64089285507658;;2,37764665046859%;;31,9;31,8840579710145;35,7142857142857;0,956516235026897%;1,7%
Haiti;HTI;11000000;27560;;60,8;28,6;38,2;0,498;0,535;24,2;;1;-1,79823988931486;35,208265608277;34,6151488976183;33,4578354898554;32,8561833459755;3240,9243746958;3203,03773662951;3094,94162119501;3127,41557125355;1,66781095484656;-1,79823988931486;;1,75314998626709;1,85704004764557;1,39585995674133;1,50423002243042;1,63206994533539;;;;1,63206994533539;120;63,13831329;56,99440002;3,4;480;;-;1,63206994533539;;1,63206994533539;-;;;;13,2;15,7259998321533;;46,9255332946777;;17;11;24;22;-0,7;-1,09535050392151;-2,06;-2,18748784065247;-1,32;-1,31874048709869;-1,09;-1,25073385238647;-1,24;-1,42337703704834;42,5;18,6;24,6;14,3;55,8;50;30;30;21,9;;0,294768413969466;8,4%;13,6456211812627%;;2,5;2,54237288135593;;0,188540702112828%;0%
Honduras;HND;9000000;111890;;47,1;27,2;57,7;0,617;0,621;41,9;;3,6;12,5340960157739;54,4606097983686;55,9054858590894;50,8936931220963;57,2727574839932;5816,06737202683;5978,27482780381;5419,79216425844;6252,56913473546;3,84499476966735;12,5340960157739;;7,0901198387146;6,41297006607056;5,15961980819702;4,93701982498169;6,05646991729736;4,91284990310669;6,4384388923645;;6,4384388923645;353;180,88980103;187,55433655;45,6311357179348;65;;-;6,05646991729736;6,4384388923645;6,05646991729736;6,4384388923645;15,6980695724487;;;6,3;8,51299953460693;4,3;93,2067108154297;;20;21;26;26;-0,55;-0,611998736858368;-0,51;-0,782125532627106;-0,44;-0,521958768367767;-1,05;-1,07238364219666;-0,72;-1,07239580154419;34,5;29;28,2;25,4;60,6;59,5;60;60;27,9;;1,04862299152317;43,6%;57,5474873071648%;;25,8;21,09375;27,34375;1,60588070153676%;1,6%
Hungary;HUN;10000000;89608;;28,2;26,4;45,4;0,838;0,846;66,1;;2,9;7,09661223225682;304,231829371843;318,086738766933;303,889825056383;325,455707553918;62513,955266957;62103,4133499859;58980,0110511236;65972,5583326576;5,35949648949985;7,09661223225682;;4,6003999710083;4,49410009384155;4,61454010009766;4,61409997940063;4,62282991409302;;;;4,62282991409302;1912;1074,01757813;1062,39416504;17,251109252423;12;;4,631949902;4,62282991409302;;4,62282991409302;-;2,43139004707336;2,46627998352051;;5,2;4,11600017547607;0,1;100;;28;26;44;43;0,81;0,861371755599976;0,51;0,634507834911346;0,65;0,496175765991211;0,53;0,530844032764435;0,09;0,035607803612948;57,1;62,2;36,4;44,4;66,7;66,9;70;70;48,5;;4,74663102989868;11,6%;17,8971934291083%;;10,1;12,5628140703518;13,0653266331658;1,63606587200346%;1,2%
Iceland;ISL;300000;100250;;28;31,1;48;0,935;0,959;83,7;;4;3,69979240070974;20,040970853945;20,5289330217951;19,1937492321123;19,9038781076133;31913,0746552476;33514,9417935891;33274,3476562091;36752,5154278913;4,89218073132504;3,69979240070974;;7,6414098739624;7,4579701423645;7,43219995498657;7,58385992050171;7,56170988082886;;;;7,56170988082886;4116;6565,87939453;6274,95947266;2,9;4;;-;7,56170988082886;;7,56170988082886;-;4,44464015960693;5,46730995178223;;3,8;5,40100002288818;;100;;37;37;58;57;1,37;1,37347543239594;1,45;1,63863050937653;1,43;1,53473567962646;1,61;1,75470423698425;1,84;1,79059553146362;72,6;94,8;77,3;85,3;77;77;70;70;43,1;;4,54844225751086;100%;99,9833650424777%;;47,6;38,0952380952381;47,6190476190476;...;0%
India;IND;1339000000;2973193;;35,2;29,2;36,4;0,64;0,633;40;;7,3;8,94796266921514;8811,11528573186;9140,46759577683;8537,55499304266;9301,49222668383;6669,62278430014;6971,68727647826;6525,42805209485;7333,505611842;6,45385134497769;8,94796266921514;;;4,11457014083862;4,25407981872559;4,30544996261597;4,36373996734619;4,40722990036011;4,47422981262207;;4,47422981262207;238;60,26567459;63,74832153;;145;;-;4,36373996734619;4,47422981262207;4,36373996734619;4,47422981262207;;5,37329006195068;;3,5;5,97800016403198;1,8;99;;35;33;42;33;-0,83;-0,615044951438904;0,09;0,282362580299377;-0,25;-0,078795075416565;0;-0,080926224589348;-0,24;-0,294859200716019;54,3;51,5;47,2;42,4;54,5;53,9;40;40;27,3;;1,79762011876852;15,1%;21,7183857984417%;;11,8;11,8081180811808;14,4444444444444;2,65779003056586%;2,4%
Indonesia;IDN;264000000;1811569;;36,8;35,7;49,6;0,694;0,705;46,4;;4,8;3,69124011191289;3043,87602267453;3196,65691688919;3130,64579361088;3246,20544690656;11643,3973183439;12310,6273684591;12072,4399629246;12904,3350647553;5,17429153955024;3,69124011191289;;3,28800988197327;3,58360004425049;3,5;2,6699800491333;3;2,84185004234314;;;2,84185004234314;369;111,6594696;120,12496185;42,6395771840764;177;;3,288009882;3;2,84185004234314;3;2,84;5,62332010269165;;;5,6;4,41300010681152;0,5;96,9499969482422;;30;30;34;29;-0,51;-0,506472945213318;0,04;0,379007279872894;-0,11;0,298162043094635;-0,35;-0,224780738353729;-0,25;-0,427905589342117;45,2;43,2;42,8;39,9;64,2;64,4;60;60;17,6;;2,2903971480842;11,2%;17,7208901186107%;;19,8;19,8214285714286;21,0434782608696;0,695925939497677%;0,7%
Iran;IRN;81000000;1531595;;44,5;24;43,6;0,798;0,774;48;;0;1,76179709064112;1252,49472057144;1235,70881557192;1257,47949753346;0;15677,4298005466;15532,5163612799;15791,1595076543;;-2,25386360686099;1,76;;2,80135011672974;2,79738998413086;3,36576008796692;3,79040002822876;3,9553599357605;3,66319990158081;3,59243011474609;;3,59243011474609;1262;484,28659058;470,43460083;21,3;16;;2,801350117;3,9553599357605;3,59243011474609;3,9553599357605;3,59;;0,141069993376732;;11,3;11,4610004425049;0,2;100;;7;4;11;10;-0,93;-1,62163186073303;-0,19;-0,858067035675049;-1,2;-1,62226402759552;-0,68;-0,947225153446198;-0,81;-1,1;35,3;29,4;32,6;19,8;50,9;42,4;10;10;17,2;;7,59836484538996;5,4%;9,43475586353384%;;5,9;5,88235294117647;5,59440559440559;2,29916024067704%;2,3%
Iraq;IRQ;38000000;437367;;-;26,5;45,3;0,685;0,686;37;;2,4;2,78333543533222;405,706056270421;428,075838564981;379,599677615038;390,165209954504;10808,2088306983;11349,4021516555;9954,34526324721;10408,9438771786;2,63385099105624;2,78333543533222;;;4,48999977111816;4,71000003814697;;;;;;;481;239,41297913;253,31463623;1,5;79;;-;;;;-;;;;16;14,1920003890991;;100;;16;16;15;13;-2,33;-2,39699196815491;-1,27;-1,29181385040283;-1,2;-1,11215388774872;-1,64;-1,73155725002289;-1,37;-1,25052845478058;11,4;-;23,4;-;-;-;-;-;42,7;;4,44062412949085;3,9%;2,7638745954117%;;25,3;25,2279635258359;28,8753799392097;2,2829567106897%;3,5%
Ireland;IRL;4700000;68883;;31,3;30;51,1;0,938;0,945;80,3;;7,8;13,4786580085837;407,522666061342;427,560583989743;452,645458739041;513,655992113861;84555,6348017403;87379,6929656668;93350,0875336544;106455,753025944;9,03016110018034;13,4786580085837;;4,87849998474121;3,75876998901367;3,74212002754211;3,50928997993469;3,39286994934082;;;;3,39286994934082;5335;5484,22119141;5428,58886719;11,1;5;;-;3,39286994934082;;3,39286994934082;-;0,001739999977872;0,1372299939394;;8,1;6,63299989700317;;100;;39;39;57;58;1,02;0,856822490692139;1,29;1,50441348552704;1,59;1,56221842765808;1,43;1,53041064739227;1,55;1,64912033081055;79;93;79;80,7;80,4;82;70;70;31,9;;7,24514322077522;29,7%;42,3627901353965%;;22,2;22,1518987341772;22,5;0,26479124832476%;0,3%
Israel;ISR;9000000;20330;;42,8;28,8;48,2;0,903;0,919;66,5;;2,6;8,1880404589493;354,454108942855;367,829753077531;359,908802382271;389,378280736651;39906,1246843388;40004,0305112173;39489,2807769984;43721,6230389199;3,98342459356549;8,1880404589493;;5,76681995391846;5,86211013793945;5,85578012466431;6,05790996551514;6,11233997344971;;;;6,11233997344971;2819;3329,23291016;3456,38696289;2,5;3;;5,739089966;6,11233997344971;;6,11233997344971;-;0,312099993228912;0,499260008335114;;5,6;5,04500007629395;0,2;100;;36;34;43;42;-0,88;-1,06135106086731;1,39;1,29196643829346;1,27;1,20903754234314;1,02;0,941778302192688;0,83;0,85577130317688;83,1;85;61,2;65,2;72,2;68;70;70;40,1;;6,91959371834315;2%;6,2951446379905%;;27,5;27,5;28,3333333333333;5,17162426266508%;5,3%
Italy;ITA;61000000;294140;;31,9;28,1;50,7;0,88;0,895;69,1;;0,8;6,64379018966193;2540,48857600539;2553,19696140593;2322,75385659588;2477,0727494504;43036,2437770367;44376,1625028912;41987,8159630472;45935,9965539678;0,925810941012742;6,64379018966193;;4,06127977371216;4,07362985610962;3,81578993797302;4,04493999481201;4,25614023208618;;;;4,25614023208618;3351;3000,7109375;2905,5;11,4;2;;4,075250149;4,25614023208618;;4,25614023208618;-;3,14660000801086;3,49891996383667;;11,5;9,83399963378906;1;100;;36;36;53;54;0,24;0,578433513641357;0,5;0,361195981502533;0,7;0,545158207416534;0,32;0,269486397504807;0,19;0,542555928230286;60,9;78,6;40,1;57,3;62,5;65,4;50;50;50,3;;5,31131544170879;40,9%;44,1982955527683%;;31;35,7142857142857;35,7142857142857;1,52273013693492%;1,4%
Jamaica;JAM;2800000;10831;;35;36,9;57,9;0,732;0,709;49,7;;1,1;4,60000000000001;28,5703897899526;28,8253209935128;25,9427888941615;27,136157183293;9967,42920828158;10189,6402034705;9240,82186933554;10025,9047946926;1,88992368121086;4,60000000000001;;6,01586008071899;5,45521020889282;5,31461000442505;5,26016998291016;5,41380977630615;5,16364002227783;5,61749505996704;6,02747011184692;6,02747011184692;511;319,87716675;327,40353394;12,9;80;;6,020720005;5,41380977630615;6,02747011184692;5,41380977630615;6,02747011184692;26,4554195404053;33,2965316772461;;13,3;9,18200016021729;;100;;34;34;43;46;0,25;0,223473608493805;0,49;0,414007514715195;0,14;0,195809438824654;-0,16;-0,167768523097038;-0,17;-0,029271552339196;56,6;70,6;39,4;49;69,1;67,4;50;50;27,6;;2,84573001224876;10,8%;11,8815747491535%;;17,5;17,4603174603175;28,5714285714286;1,41272032275836%;1,6%
Japan;JPN;127000000;364485;;37,9;28,3;47,1;0,909;0,925;75,2;;0,5;1,62079552541303;5292,99011234387;5280,2683660989;5042,29171126333;5124,01694969776;42116,4743457281;42282,5508939691;42100,257690921;42940,4052523244;0,584068067242868;1,62079552541303;;3,55158996582031;;3,14643001556396;3,13057994842529;3,07782006263733;;;;3,07782006263733;4405;4256,09570313;4360,47363281;8,9;5;;3,59059;3,07782006263733;;3,07782006263733;-;;;;3,1;2,79900002479553;;100;;40;40;56;56;1,12;1,02734816074371;1,62;1,4027578830719;1,37;1,37593495845795;1,57;1,57946360111237;1,52;1,56542146205902;73,2;95,3;79,2;81,4;72,3;69,9;60;60;39,1;;8,54098020491546;17,4%;25,8496598588689%;;9,3;10,1075268817204;9,67741935483871;1,07351519547696%;0,9%
Jordan;JOR;10000000;88802;;39,7;-;43,9;0,735;0,72;48,7;;2,5;2,2097647710104;99,7867320292186;101,738028003642;100,159680041655;102,372973365972;10252,6188242774;10496,4383481098;10354,1640265093;10952,010609113;1,93409170141707;2,2097647710104;;3,79999995231628;3,45000004768372;3,45282006263733;3,22853994369507;2,98481011390686;2,98847007751465;;;2,98847007751465;568;335,21057129;334,04421997;1,8;46;;-;2,98481011390686;2,98847007751465;2,98481011390686;-;19,023250579834;20,0847301483154;;13,2;19,2520008087158;;99,9000015258789;;12;11;25;22;-0,53;-0,275730043649673;0,12;0,227398812770843;0,1;0,150672376155853;0,26;0,212818905711174;0,26;0,050462540239096;57,3;42,6;51,9;49,5;64,9;60,1;60;60;32;;2,43820411172168;1%;15,4818633693464%;;15,4;15,3846153846154;11,5384615384615;5,01895528329192%;4,7%
Kazakhstan;KAZ;18000000;2699700;;26,3;19,1;38,6;0,8;0,811;57,7;;1,2;4,00000000008325;466,859990810033;487,86869039688;475,671973135556;494,698852061374;26154,6019350822;27463,9715463979;26750,4462260761;28599,9858781267;4,09999999987123;4,00000000008325;;3,42164993286133;2,7885799407959;2,97810006141663;2,75081992149353;2,61595010757446;2,8569700717926;;;2,8569700717926;903;275,85461426;272,96524048;31,2;10;;-;2,61595010757446;2,8569700717926;2,61595010757446;-;0,990610003471375;9,61295986175537;;5,2;4,90000009536743;0;100;;5;5;17;18;0,02;-0,254261642694473;0,01;0,064204692840576;0,17;0,089868895709515;-0,41;-0,487137585878372;-0,82;-0,23696194589138;58,1;34,5;44,6;37,9;69,1;64,4;50;50;22,2;;11,4569378323984;9,3%;11,1268871638841%;;27,1;27,1028037383178;27,1028037383178;0,866368644727073%;1,1%
