procom;out;in;self;sum;inout;saldo
3026;1220;793;472;2485;2013;-427
3027;460;89;192;741;549;-371
3030;1012;603;441;2056;1615;-409
3032;3466;2825;2567;8858;6291;-641
3036;762;373;494;1629;1135;-389
3037;442;176;98;716;618;-266
3039;409;129;105;643;538;-280
3040;596;434;226;1256;1030;-162
3041;341;65;105;511;406;-276
3042;140;47;37;224;187;-93
3043;3067;1914;2143;7124;4981;-1153
3044;175;85;28;288;260;-90
3045;447;115;113;675;562;-332
3047;489;389;177;1055;878;-100
3049;1861;942;1433;4236;2803;-919
3051;203;51;29;283;254;-152
3052;553;247;146;946;800;-306
3055;556;380;221;1157;936;-176
3058;1072;318;299;1689;1390;-754
3060;518;126;207;851;644;-392
3062;843;917;408;2168;1760;74
3065;674;400;391;1465;1074;-274
3066;863;1175;511;2549;2038;312
3068;4621;1918;3272;9811;6539;-2703
3069;643;179;119;941;822;-464
3070;761;323;279;1363;1084;-438
3071;1194;1188;617;2999;2382;-6
3073;983;645;744;2372;1628;-338
3076;1619;2703;1211;5533;4322;1084
3077;569;183;217;969;752;-386
3079;1386;691;925;3002;2077;-695
3082;1542;915;853;3310;2457;-627
3083;165;305;133;603;470;140
3084;574;463;406;1443;1037;-111
3088;662;172;259;1093;834;-490
3090;115;6;9;130;121;-109
3091;587;490;224;1301;1077;-97
3093;338;127;146;611;465;-211
3095;909;288;335;1532;1197;-621
3097;516;111;131;758;627;-405
3098;246;187;73;506;433;-59
3100;738;1153;643;2534;1891;415
3103;677;168;230;1075;845;-509
3104;327;84;70;481;411;-243
3106;13847;24980;39028;77855;38827;11133
3108;3955;1974;3260;9189;5929;-1981
3109;803;622;235;1660;1425;-181
3112;259;488;240;987;747;229
3114;851;1226;337;2414;2077;375
3115;332;383;192;907;715;51
3116;548;141;199;888;689;-407
3119;297;176;91;564;473;-121
3120;412;705;441;1558;1117;293
3121;840;598;371;1809;1438;-242
3122;758;863;315;1936;1621;105
3129;360;64;87;511;424;-296
3130;1030;1942;986;3958;2972;912
3131;1805;1477;1234;4516;3282;-328
3133;719;1627;1096;3442;2346;908
3134;263;43;57;363;306;-220
3135;724;2433;432;3589;3157;1709
3138;251;110;67;428;361;-141
3139;522;177;244;943;699;-345
3140;344;69;63;476;413;-275
3141;423;176;125;724;599;-247
3143;916;660;519;2095;1576;-256
3144;223;36;30;289;259;-187
3146;343;131;84;558;474;-212
3149;6376;2160;4527;13063;8536;-4216
3153;404;201;92;697;605;-203
3154;1597;1129;1035;3761;2726;-468
3157;728;604;291;1623;1332;-124
3158;707;227;311;1245;934;-480
3159;339;930;147;1416;1269;591
3164;245;64;41;350;309;-181
4001;24;7;35;66;31;-17
4002;75;28;21;124;103;-47
4003;4145;16545;12038;32728;20690;12400
4004;106;38;23;167;144;-68
4005;40;4;10;54;44;-36
4006;6;5;14;25;11;-1
4007;78;4;11;93;82;-74
4008;269;146;203;618;415;-123
4009;1410;627;1606;3643;2037;-783
4010;402;236;178;816;638;-166
4011;238;123;125;486;361;-115
4012;1554;1378;2364;5296;2932;-176
4013;197;384;199;780;581;187
4014;203;139;102;444;342;-64
4015;57;23;8;88;80;-34
4016;1164;571;655;2390;1735;-593
4017;36;2;13;51;38;-34
4018;110;73;49;232;183;-37
4019;894;668;989;2551;1562;-226
4020;171;38;31;240;209;-133
4021;13;4;2;19;17;-9
4022;1433;471;842;2746;1904;-962
4023;22;43;9;74;65;21
4024;139;37;67;243;176;-102
4025;3808;2558;3001;9367;6366;-1250
4026;49;73;19;141;122;24
4027;168;208;144;520;376;40
4028;2820;969;2543;6332;3789;-1851
4029;5359;6238;9923;21520;11597;879
4030;153;17;20;190;170;-136
4031;5;4;3;12;9;-1
4032;101;8;8;117;109;-93
4033;335;149;207;691;484;-186
4034;2785;1213;2723;6721;3998;-1572
4035;179;119;78;376;298;-60
4036;72;19;59;150;91;-53
4037;1605;1068;1523;4196;2673;-537
4038;11;2;15;28;13;-9
4039;23;2;7;32;25;-21
4040;1960;968;1720;4648;2928;-992
4041;768;1025;905;2698;1793;257
4042;385;52;205;642;437;-333
4043;1074;750;1155;2979;1824;-324
4044;70;4;15;89;74;-66
4045;472;555;291;1318;1027;83
4046;920;745;313;1978;1665;-175
4047;31;8;28;67;39;-23
4048;119;23;23;165;142;-96
4049;464;273;282;1019;737;-191
4050;87;42;76;205;129;-45
4051;282;147;186;615;429;-135
4052;126;55;21;202;181;-71
4053;3;6;9;18;9;3
4054;34;1;5;40;35;-33
4055;326;213;77;616;539;-113
4056;194;81;261;536;275;-113
4057;139;23;109;271;162;-116
4058;225;136;123;484;361;-89
4059;1536;956;1394;3886;2492;-580
4060;15;8;19;42;23;-7
4061;2000;685;2014;4699;2685;-1315
4062;611;527;534;1672;1138;-84
4063;169;63;39;271;232;-106
4064;1816;1545;861;4222;3361;-271
4065;734;476;492;1702;1210;-258
4066;1032;1635;1865;4532;2667;603
4067;2284;3052;2562;7898;5336;768
4068;974;351;946;2271;1325;-623
4069;73;14;12;99;87;-59
4070;23;19;20;62;42;-4
4071;258;103;139;500;361;-155
4072;723;511;369;1603;1234;-212
4073;353;478;769;1600;831;125
4074;224;325;314;863;549;101
4075;938;515;790;2243;1453;-423
4076;125;45;60;230;170;-80
4077;48;14;18;80;62;-34
4078;5458;22427;23310;51195;27885;16969
4079;433;247;553;1233;680;-186
4080;1330;879;673;2882;2209;-451
4081;1028;621;1432;3081;1649;-407
4082;1712;1754;1875;5341;3466;42
4083;8;3;18;29;11;-5
4084;179;94;134;407;273;-85
4085;580;194;468;1242;774;-386
4086;410;384;434;1228;794;-26
4087;235;75;38;348;310;-160
4088;98;27;35;160;125;-71
4089;3861;5597;9555;19013;9458;1736
4090;181;77;135;393;258;-104
4091;474;147;247;868;621;-327
4092;94;24;27;145;118;-70
4093;314;30;35;379;344;-284
4094;185;33;21;239;218;-152
4095;436;354;988;1778;790;-82
4096;817;754;738;2309;1571;-63
4097;71;16;37;124;87;-55
4098;66;2;12;80;68;-64
4099;736;759;396;1891;1495;23
4100;833;818;289;1940;1651;-15
4101;1520;1010;486;3016;2530;-510
4102;21;5;11;37;26;-16
4103;24;4;4;32;28;-20
4104;338;559;507;1404;897;221
4105;814;628;592;2034;1442;-186
4106;145;75;66;286;220;-70
4107;263;204;162;629;467;-59
4108;238;428;149;815;666;190
4109;53;21;12;86;74;-32
4110;212;222;421;855;434;10
4111;67;13;20;100;80;-54
4112;13;9; ;22 ;22;-4
4113;841;189;269;1299;1030;-652
4114;624;551;466;1641;1175;-73
4115;342;90;348;780;432;-252
4116;1367;742;645;2754;2109;-625
4117;867;807;886;2560;1674;-60
4118;507;235;263;1005;742;-272
4119;3;8;17;28;11;5
4120;72;7;21;100;79;-65
4121;245;62;123;430;307;-183
4122;92;28;26;146;120;-64
4123;94;41;27;162;135;-53
4124;56;3;15;74;59;-53
4125;209;77;70;356;286;-132
4126;558;82;152;792;640;-476
4127;23;7;1;31;30;-16
4128;494;367;274;1135;861;-127
4129;244;269;68;581;513;25
4130;2774;7287;8855;18916;10061;4513
4131;140;140;134;414;280;0
4132;486;253;597;1336;739;-233
4133;1248;376;1255;2879;1624;-872
4134;175;13;82;270;188;-162
4135;302;42;53;397;344;-260
4136;269;189;157;615;458;-80
4137;217;21;33;271;238;-196
4138;92;10;11;113;102;-82
4139;162;42;54;258;204;-120
4140;540;243;231;1014;783;-297
4141;77;76;22;175;153;-1
4142;787;873;465;2125;1660;86
4143;1088;688;1055;2831;1776;-400
4144;647;279;437;1363;926;-368
4145;143;99;206;448;242;-44
4146;283;181;209;673;464;-102
4147;995;286;822;2103;1281;-709
4148;908;899;924;2731;1807;-9
4149;145;33;82;260;178;-112
4150;110;38;70;218;148;-72
4151;306;304;163;773;610;-2
4152;374;213;184;771;587;-161
4153;133;177;75;385;310;44
4154;9;7;9;25;16;-2
4155;220;111;343;674;331;-109
4156;19;6;5;30;25;-13
4157;694;134;618;1446;828;-560
4158;220;66;88;374;286;-154
4159;43;45;44;132;88;2
4160;87;14;12;113;101;-73
4161;100;6;59;165;106;-94
4162;46;4;3;53;50;-42
4163;1787;692;1272;3751;2479;-1095
4164;83;53;44;180;136;-30
4165;808;481;416;1705;1289;-327
4166;883;504;647;2034;1387;-379
4167;15;5;23;43;20;-10
4168;583;404;165;1152;987;-179
4169;299;194;154;647;493;-105
4170;1371;377;513;2261;1748;-994
4171;382;170;187;739;552;-212
